Participant ID,Dialect index (0–6),Nordavinden og sola (Tromsø / North. features),Nord. score,Picture descrip. (Tromsø / North. features),Pic. score,Fritid (Tromsø / North. features),Fritid score,Frokost (Tromsø / North. features),Frokost score,Daglige rutine (Tromsø / North. features),Daglige rutine score,,I live in Oslo (Æ / Jeg),I live in Tromsø (Æ / Jeg),I speak Norwegian (Æ / Jeg),Your children (deres / dåkkers),Their cars (deres / dæmmes),Who is it? / Who is over there? (hvem or kem + V2/V3 in questions),What is it? (hva or ka + V2/V3 in questions),Where are we? (hvor or kor + V2/V3 in questions),I will give you a(the) book (deg or dæ),Do you like me? (meg or mæ),She runs (ho or hun),He works pracuje [Distractor],She rides (ho or hun),They have a cat (dem or dæm),,Hva heter du? [ka],Hvor gammel er du? [kor],Hvem er du? [kem],Han liker ikke å gå på ski. [ikkje],Hva er din favoritthøytid? [ka],Hvor bor du? [kor],Hvem er din favorittskuespiller? [kem],Hun bor ikke i Tromsø [ikkje],Hva er din favorittfarge? [ka],Hvor skal du være i jula? [kor],Hvem er din favorittsanger? [kem],Jeg feirer ikke jul. [ikkje],Hva er din favorittmat? [ka],Hvor liker du å reise på ferie? [kor],Hvem er din bestevenn [kem]?,Jeg liker ikke løk. [ikkje],Det er skjorten min (COM) / skjorta mi (F),Jeg kjøpte en bokhylle (COM) / ei bokhylle (F),Hun har boken min (COM) /boka mi (F). ,Jeg leste en avis (COM) / ei avis (F),Han kjenner konen min (COM) / kona mi (F). ,Jeg så en kvinne (COM) / ei kvinne (F),Han elsker datteren min (COM) / dattera mi (F).,Jeg fant en mus (COM) / ei mus (F). ,,gjenta / jenta,løpe / løpet,rote / rotet,kaste / kastet,tegne / tegnet,skjære / kjære,hat / hatt,tak / takk,flyte / flytte,bøter / bøtter,føl / føll,supe / suppe,slippe / slippet,stoppe / stoppet,tone 2 dialect  score,,bart (retroflexion),barn (retroflexion),har du (re),stor skog (re),garde (re),morder (re),ikke (palatalization),kveld (p),fjell (p),ball (p),mann (p),kan (p),skodde (p),hva (hv - k),hvordan (hv - k),banan (stress 2),for alle (distract. / pal/.),Oslo (distract.),Tromsø (distract.),Morsmålsdagen (d),norsk (d),takk (d),park (r b k),varp (r b k),fisk (low /i/ to /e/),sett (low /e/ to /æ/),vann (palatalization),,,
BR6119AN,2.9,"F, tjukk l, kjeklet",3,"palatalisering, musa, høgtone",3,"høgtone, tjukk l, palatalisering",3,"høgtone, palatalisering",2,"retrofleks, verb, høgtone, ka",4,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,COM,,F,F,F,F,F,F,,different t.,same t.,same t.,same t.,same t.,slightly different t.,same t.,same t.,same t.,different t.,same t.,slightly different t.,slightly different t.,same t.,,,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,10,0.3703703704,2.222222222
EF5520UR,4.7,"kjekla, F, palatalisering, sæ, retrofleks, tjukk l, høgtone, ka",7,"F, tjukk l, høgtone",3,"høgtone, tjukk l, palatalisering, F,retrofleks, ka",6,"ka, høgtone, æ (jeg), høgtone",4,"plural, tjukk l, retrofleks, høgotne, lågning",5,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,F,F,F,F,F,F,F,F,,different t.,slightly different t.,different t.,same t.,slightly different t.,slightly different t.,same t.,same t.,different t.,slightly different t.,same t.,slightly different t.,slightly different t.,slightly different t.,,,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,14,0.5185185185,3.111111111
ER6615MA,3.4,"kjeklet, F, høgtone",2,"tjukk l, høgtone",2,"æ (jeg), retrofleks, tjukk l, høgtone, plural,, krevandes, ",6,"mæ, æ, tjukk l, høgtone",3,"tjukk l, æ, retrofleks, høgtone, ",4,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,COM,F,F,NA,F,F,F,F,,same t.,same t.,slightly different t.,same t.,same t.,,same t.,same t.,slightly different t.,slightly different t.,same t.,slightly different t.,slightly different t.,same t.,,,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,14,0.5185185185,3.111111111
GE5012ER,6.5,"kjekla, F, palatalisering, retrofleks, tjukk l, høgtone,lågning",7,"palatalisering, musa, høgtone, gåandes, F, tjukk l,sæ, oppdaga",7,"ikkje, æ, tjukk l, palatalisering, lågning",5,"ka, høgtone, æ (jeg), høgtone, ikkje, palatalisering, lågning, retrofleks",8,"æ, F, ikkje, tjukk l, palatalisering, høgtone, lågning",7,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,F,F,F,F,F,F,F,F,,different t.,different t.,slightly different t.,slightly different t.,different t.,slightly different t.,same t.,same t.,slightly different t.,different t.,same t.,slightly different t.,same t.,slightly different t.,,,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,23,0.8518518519,5.111111111
GFL5224AI,4.4,"F, tjukk l, kjeklet, retrofleks, lågning, høtone",5,"F, tjukk l, høgtone, palatalisering",4,"æ (jeg), retrofleks, tjukk l, høgtone, plural,  palatalisering",6,"æ. palatalisering, høgtone",3,"æ,mæ, tjukk l, palatalisering, høgtone",4,,1,1,1,0,1,1,1,1,0,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,F,F,F,F,F,F,F,F,,slightly different t.,slightly different t.,same t.,same t.,same t.,same t.,same t.,same t.,slightly different t.,slightly different t.,same t.,slightly different t.,same t.,same t.,,,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,19,0.7037037037,4.222222222
GM7215OR,6.0,"kjekla, kem, lågning, sæ, tjukk l, F",6,"palatelisering, tjukk l, retrofleks, F, høgtone, sæ, oppdaga, verb",8,"retrofleks, æ, høgtone, tjukk l, -a past tense, palatalisering",6,"kor, æ, høgtone, tjukk l, lågning, retrofleks",6,"retrofleks, æ, høgtone, lågmig, tjukk l, ka",6,,1,1,1,0,1,1,1,1,1,1,1,1,1,NA,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,F,F,F,COM,F,F,F,F,,different t.,same t.,different t.,slightly different t.,slightly different t.,same t.,same t.,same t.,slightly different t.,different t.,same t.,different t.,other,slightly different t.,,,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,17,0.6296296296,3.777777778
HA5809AR,4.4,"F, kjeklet, lågning, traces of høgtone",3,"lågning, strong verbs, F, tjukk l",4,"retrofleks, æ, høgtone, tjukk l, -a past tense, palatalisering, plural forms",7,"æ, høgtone, lågning, tjukk l",4,"kv-, æ, høgtoe, lågning, tjukk l",5,,no data,,,,,,,,,,,,,,,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,F,F,F,F,F,COM,COM,COM,,different t.,same t.,same t.,same t.,different t.,same t.,same t.,same t.,different t.,different t.,same t.,different t.,slightly different t.,same t.,,,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,16,0.5925925926,3.555555556
JRM6431UG,3.3,"F, kjeklet, retrofleks,høgtone",3,"tjukk l, høgtone, retrofleks",3,"F, retrofleks, tjukk l, høgtone",4,"æ, høgtone, tjukk l",3,"æ, tjukk l, høgtone, noko",4,,no data,,,,,,,,,,,,,,,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,COM,NA,F,COM,F,COM,F,COM,,different t.,same t.,different t.,same t.,same t.,same t.,same t.,same t.,different t.,different t.,same t.,same t.,same t.,same t.,,,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,12,0.4444444444,2.666666667
JRM6609ET,3.6,"F, kjeklet, høgtone",2,"tjukk l, retrofleks, høgtone, present verbs",4,"tjukk l, æ, høgtone, ho, ",4,"æ, høgtone, tjukk l, retrofleks",4,"tjukk l, æ, retrofleks, høgtone, mæ",5,,no data,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COM,COM,F,NA,F,COM,F,COM,,different t.,same t.,slightly different t.,same t.,same t.,slightly different t.,same t.,same t.,different t.,different t.,same t.,slightly different t.,slightly different t.,same t.,,,1,1,1,0,1,1,0,0,0,0,0,0,0,0,,0,0,1,1,1,1,1,1,1,0,0,,12,0.4444444444,2.666666667
KF2804NN,6.4,"F, kjekla, høgtone, tjukk l, palatalisering, kem",6,"palatalisering, retrofleks, F, past tense -a, ka, lågning, tjukk l, høgtone",8,"palatalisering, tjukk l, høgtone, -s, ikkje, plural",6,"kv-, æ, ikkje, høgtone, tjukk l, palatalisering",6,"æ, palatalisering, present tense, F, tjukk l, plural, lågning",7,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,F,F,F,F,F,F,F,F,,different t.,different t.,different t.,different t.,same t.,slightly different t.,same t.,same t.,different t.,different t.,same t.,different t.,same t.,slightly different t.,,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,25,0.9259259259,5.555555556
KH5216OH,2.6,"kjeklet, retrofleks, F, høgtone",2,høgtone,1,"tjukk l, høgtone, æ",3,"høgtone, palatalisering, tjukk l",5,"F. lågning, høgtone, retrofleks",4,,no data,,,,,,,,,,,,,,,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,F,F,COM,NA,F,COM,COM,F,,same t.,slightly different t.,slightly different t.,same t.,slightly different t.,same t.,same t.,same t.,slightly different t.,slightly different t.,same t.,same t.,slightly different t.,same t.,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,3,0.1111111111,0.6666666667
KK2725EL,5.1,"kjeklet, høgtone, F, tjukk l, retrofleks",4,"F, høgtone, palatalisering, gåandes, tjukk l, retrofleks",6,"F, høgtone, tjukk l, palatalisering, plural, ",5,"retrofleks,pronomen,/æ /,F, palatalisering, høgtone",5,"F, palatalisering, tjukk l, plural høgtone,retrofleks",6,,no data,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,F,F,F,F,F,F,F,F,,slightly different t.,different t.,slightly different t.,same t.,slightly different t.,slightly different t.,same t.,same t.,different t.,different t.,same t.,slightly different t.,same t.,slightly different t.,,,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,22,0.8148148148,4.888888889
PR4819IR,3.6,"kjekltet, tjukk l, høgtone, F",3,"høgtone, palatalisering, tjukk l, retrofleks",4,"æ, høgtone, plural, palatalisering",4,"æ, høgtone, ikkje, tjukk l",4,"høgtone, palatalisering, æ",3,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,F,NA,F,NA,F,F,F,F,,slightly different t.,same t.,slightly different t.,slightly different t.,different t.,different t.,same t.,same t.,different t.,slightly different t.,same t.,slightly different t.,slightly different t.,slightly different t.,,,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,17,0.6296296296,3.777777778
,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slightly different t.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.316061498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slightly different t.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.487179487
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.555555556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.555555556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.315887769